trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,13.6653994,14.7007452,14.7038405,up,0,0.5906009,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
1,0,1,0,15.314729,16.3152606,16.3152606,down,1,0.6636173,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
2,0,2,0,16.9988182,17.9992032,17.9992032,up,1,1.0601023,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
3,0,3,0,19.082628,20.0830829,20.0830829,down,1,0.7456314,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
4,0,4,0,20.8498867,21.8504361,21.8504361,down,1,0.4095822,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
5,0,5,0,22.2835559,23.2842049,23.2842049,down,1,0.5138808,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
6,0,6,0,23.8173833,24.8176542,24.8176542,down,1,0.5192035,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
7,0,7,0,25.3676301,26.3679921,26.3679921,up,1,0.6274576,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
8,0,8,0,27.0183108,28.0185017,28.0185017,down,1,0.7102101,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
9,0,9,0,28.7521442,29.7523995,29.7523995,up,1,0.4682038,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
10,0,10,0,30.2524754,31.2528842,31.2528842,up,0,0.6213288,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
11,0,11,0,31.9028921,32.9033471,32.9033471,up,1,0.4526728,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
12,0,12,0,33.3866162,34.3870046,34.3870046,up,1,0.7282116,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
13,0,13,0,35.1368698,36.1374619,36.1374619,down,1,0.6109814,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
14,0,14,0,36.7709924,37.7711381,37.7711381,up,1,0.5561884,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
15,0,15,0,38.3547794,39.355089,39.355089,down,1,0.5251288,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
16,0,16,0,39.905141,40.90556,40.90556,up,0,0.3917128,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
17,0,17,0,41.3219686,42.3225631,42.3225631,up,1,0.5823505,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
18,0,18,0,42.9225892,43.9228693,43.9228693,down,1,0.5444795,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
19,0,19,0,44.4896872,45.4900106,45.4900106,down,1,0.4400381,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
20,0,20,0,45.9566159,46.9571285,46.9571285,up,1,0.7321184,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
21,0,21,0,47.7072476,48.7075291,48.7075291,down,1,0.5655387,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
22,0,22,0,49.2909709,50.291388,50.291388,up,0,0.7821062,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
23,0,23,0,51.0915337,52.091797,52.091797,down,1,0.4777555,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
24,0,24,0,52.5919685,53.5922154,53.5922154,up,1,0.901779,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
25,0,25,0,54.5256079,55.5258888,55.5258888,up,0,1.103935,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
26,0,26,0,56.6598178,57.6600296,57.6600296,down,1,0.8451818,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
27,0,27,0,58.5265966,59.5270748,59.5270748,down,1,1.531307,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
28,0,28,0,61.0774207,62.0776356,62.0776356,up,1,0.4978999,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
29,0,29,0,62.5945387,63.5949731,63.5949731,down,1,0.6151835,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
30,0,30,0,64.2281113,65.2285562,65.2285562,up,0,0.7595107,None,-2,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
31,0,31,0,66.0121163,67.0124695,67.0124695,up,1,0.9848856,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
32,0,32,0,68.0291776,69.0296967,69.0296967,down,1,0.601138,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
33,0,33,0,69.6632417,70.6634437,70.6634437,up,1,0.6160113,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
34,0,34,0,71.2969617,72.2972718,72.2972718,up,0,0.8932514,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
35,0,35,0,73.2142803,74.2145935,74.2145935,up,0,0.7335385,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
36,0,36,0,74.9647337,75.9648907,75.9648907,down,0,0.4112311,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
37,0,37,0,76.3982675,77.3986421,77.3986421,down,1,1.0121636,None,-5,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
38,0,38,0,78.4321994,79.4322705,79.4322705,up,1,0.6514418,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
39,0,39,0,80.1160659,81.1163072,81.1163072,up,1,0.7330155,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
40,0,40,0,81.8664396,82.8668991,82.8668991,down,1,0.6403651,None,-4,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
41,0,41,0,83.533618,84.5338858,84.5338858,up,1,0.4657713,None,0,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
42,0,42,0,85.0172876,86.0175142,86.0175142,down,1,0.883618,None,-3,794647,1,2023-09-08_13h04.56.086,orientationdisctimination,2023.1.3,60.09889873
