trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate
82,0,82,0,149.4609372,150.4614347,150.4614347,up,1,0.6960961,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
83,0,83,0,151.1780927,152.1785379,152.1785379,down,1,0.8759618,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
84,0,84,0,153.0784691,154.0789407,154.0789407,up,0,0.6337788,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
85,0,85,0,154.7289421,155.7294917,155.7294917,up,0,1.009201,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
86,0,86,0,156.7631005,157.763303,157.763303,up,1,0.7793592,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
87,0,87,0,158.5634322,159.5636978,159.5636978,down,1,0.6321755,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
88,0,88,0,160.213772,161.2140924,161.2140924,down,0,0.7967939,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
89,0,89,0,162.0308879,163.0312732,163.0312732,down,1,0.8259699,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
90,0,90,0,163.8816155,164.8818491,164.8818491,down,1,0.7648046,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
91,0,91,0,165.6652808,166.6657433,166.6657433,down,1,0.7254436,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
92,0,92,0,167.4157388,168.4162575,168.4162575,up,1,0.6324968,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
93,0,93,0,169.0664237,170.0666726,170.0666726,up,1,0.8928276,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
94,0,94,0,170.983373,171.9838523,171.9838523,up,1,1.0278484,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
95,0,95,0,173.0340992,174.034339,174.034339,up,1,0.9273013,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
96,0,96,0,174.9845199,175.9848785,175.9848785,up,1,0.8051413,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
97,0,97,0,176.8183839,177.8188005,177.8188005,down,1,0.5198347,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
98,0,98,0,178.368773,179.3691809,179.3691809,down,1,0.6123476,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
99,0,99,0,180.0027481,181.0029498,181.0029498,up,1,0.5728932,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
